,Unnamed: 0.1,Unnamed: 0,mz,rt,rt1,rt2,intensity,pic_label,score_inf,snr_inf,snr_mock,score_mock
140,140,140,429.7141371782352,1684.0388040227392,1673.79407218839,1697.13790611171,634241.7292480469,1684.0388040227392_429.7141371782352_634241.7292480469,1.3027310297813108,4.390491208444479,0.0,
146,146,146,409.5351512135525,1703.5179285467327,1683.27450016881,1716.74584404372,3406909.6166992188,1703.5179285467327_409.5351512135525_3406909.6166992188,0.0,7.087854419253348,0.0,0.0
147,147,147,461.7711412674781,1693.594049715742,1679.69413856412,1705.2486117258,943824.7333984376,1693.594049715742_461.7711412674781_943824.7333984376,0.0,6.719263649067163,0.0,
149,149,149,412.8660644557216,1703.4802361460922,1687.04284862421,1710.73379758737,790299.076171875,1703.4802361460922_412.8660644557216_790299.076171875,0.0,4.143036799491408,0.0,0.0
150,150,150,415.2146460002768,1697.9198127785455,1689.1256372108703,1706.85041264439,513070.8356933594,1697.9198127785455_415.2146460002768_513070.8356933594,0.3913282324679483,4.145962621929433,0.0,0.0
151,151,151,613.7992145182326,1702.268947664633,1692.78690067674,1712.48326805973,615559.4616088867,1702.268947664633_613.7992145182326_615559.4616088867,0.0,5.052254201786131,0.0,
153,153,153,359.1535033979058,1692.3781531117324,1672.06491760158,1709.2366971149402,678913.7255859375,1692.3781531117324_359.1535033979058_678913.7255859375,0.0,4.411216842314895,1.3782204115428522,0.0
156,156,156,525.2790647154727,1703.2823564280577,1692.78690067674,1712.48326805973,730747.5546875,1703.2823564280577_525.2790647154727_730747.5546875,0.0,4.864795588154905,0.0,0.0
157,157,157,385.49867284848114,1703.7017987972922,1694.0317161455398,1719.61431113625,668756.6444091797,1703.7017987972922_385.49867284848114_668756.6444091797,0.0,4.834452785265599,0.0,
160,160,160,559.2703894904613,1710.943818418865,1699.172842659,1719.61431113625,1066501.8662109375,1710.943818418865_559.2703894904613_1066501.8662109375,0.0,8.263757803915848,0.0,
161,161,161,459.2440696454675,1711.064575175993,1689.1256372108703,1722.57904163742,2013555.7030029297,1711.064575175993_459.2440696454675_2013555.7030029297,1.557122690989101,4.6559064276162925,0.0,0.0
162,162,162,498.8010638930489,1713.630857339333,1705.2486117258,1722.57904163742,1191485.039794922,1713.630857339333_498.8010638930489_1191485.039794922,0.0,7.108958812245405,0.0,
163,163,163,479.7686454343328,1711.9328475288935,1703.84849313639,1722.57904163742,593192.7878417969,1711.9328475288935_479.7686454343328_593192.7878417969,0.0,4.993961194660621,0.0,
168,168,168,533.7762725090048,1716.779294020161,1705.2486117258,1725.6403545513,1224859.3666992188,1716.779294020161_533.7762725090048_1224859.3666992188,0.0,7.105579121093181,0.0,
169,169,169,547.2514783802219,1716.434192971588,1708.0939675941602,1722.57904163742,736638.3605957031,1716.434192971588_547.2514783802219_736638.3605957031,0.0,6.507882258238562,0.0,0.0
170,170,170,606.3092613162923,1728.7324693117273,1705.2486117258,1731.71813873196,1147725.91796875,1728.7324693117273_606.3092613162923_1147725.91796875,0.0,5.717431799466471,0.0,0.0
175,175,175,578.2735240849344,1722.1594765630452,1709.2366971149402,1725.6403545513,1687195.9509277344,1722.1594765630452_578.2735240849344_1687195.9509277344,0.0,5.475019624140789,0.0,
177,177,177,512.2927826770945,1725.5772736675906,1712.48326805973,1728.70215813063,715058.7573242188,1725.5772736675906_512.2927826770945_715058.7573242188,0.0,6.1596713917946495,0.0,
179,179,179,385.21717693211855,1727.4364925982463,1719.61431113625,1740.81434956932,706229.91796875,1727.4364925982463_385.21717693211855_706229.91796875,2.7047603659701376,8.920392304304821,0.0,0.0
180,180,180,399.5204370336783,1725.5321331250036,1716.74584404372,1734.73551575088,2601585.297607422,1725.5321331250036_399.5204370336783_2601585.297607422,0.0,6.167130582180668,0.0,
184,184,184,602.7879730407107,1730.9004584816569,1709.2366971149402,1737.77586666486,770800.4487304688,1730.9004584816569_602.7879730407107_770800.4487304688,1.7290660940505984,6.307475519230534,0.0,
186,186,186,538.7428683159493,1732.8189298867032,1725.6403545513,1740.81434956932,4729052.3740234375,1732.8189298867032_538.7428683159493_4729052.3740234375,2.9782479214799613,5.8448063541304895,0.0,0.0
187,187,187,367.5227690238134,1737.8088125451527,1719.61431113625,1756.1482396497902,1921844.01953125,1737.8088125451527_367.5227690238134_1921844.01953125,0.0,8.61432925802266,0.0,0.0
189,189,189,376.7300421768941,1732.3949095953635,1725.6403545513,1743.84690312291,1692056.5122070312,1732.3949095953635_376.7300421768941_1692056.5122070312,0.0,6.957802216656548,0.0,0.0
190,190,190,411.2071493258585,1731.7293030092692,1728.70215813063,1746.98144916438,2077569.462890625,1731.7293030092692_411.2071493258585_2077569.462890625,0.0,5.962813863575061,0.0,0.0
191,191,191,427.8786998292109,1741.0499153307428,1734.73551575088,1759.17084816837,1775212.0019302368,1741.0499153307428_427.8786998292109_1775212.0019302368,0.0,9.06479853935991,0.0,
193,193,193,513.7692023544812,1734.3021270104025,1712.48326805973,1743.84690312291,1006987.2905273438,1734.3021270104025_513.7692023544812_1006987.2905273438,0.0,8.188126136516898,0.0,0.0
194,194,194,537.3252594275606,1735.432420870894,1731.71813873196,1746.98144916438,2823813.40234375,1735.432420870894_537.3252594275606_2823813.40234375,0.0,7.097036516024139,0.0,0.0
198,198,198,502.7528548276208,1741.6835323018372,1734.73551575088,1750.10462919615,2628364.265625,1741.6835323018372_502.7528548276208_2628364.265625,0.0,6.191204800208097,0.0,0.0
199,199,199,505.26821078748577,1742.1940016136557,1734.73551575088,1753.12833467865,1759556.2947998047,1742.1940016136557_505.26821078748577_1759556.2947998047,2.7908425695314945,6.950227106781106,0.0,0.0
200,200,200,547.2369568329215,1738.610163609772,1734.73551575088,1750.10462919615,1311330.5375976562,1738.610163609772_547.2369568329215_1311330.5375976562,0.0,5.990500924496466,0.0,0.0
201,201,201,589.8173173059382,1737.9670257631003,1728.70215813063,1746.98144916438,6848703.9541015625,1737.9670257631003_589.8173173059382_6848703.9541015625,0.0,9.88459056775266,0.0,0.0
202,202,202,695.3081498558313,1743.727263802527,1734.73551575088,1750.10462919615,1347408.63671875,1743.727263802527_695.3081498558313_1347408.63671875,0.0,7.248178146008496,0.0,
203,203,203,361.8425658388502,1747.747359156951,1740.81434956932,1762.19154862308,8295923.547363281,1747.747359156951_361.8425658388502_8295923.547363281,0.0,7.256405629541513,0.0,0.0
204,204,204,397.5303688070511,1756.151321580553,1740.81434956932,1765.20502213383,3700959.55859375,1756.151321580553_397.5303688070511_3700959.55859375,0.0,8.943716824701436,0.0,0.0
205,205,205,411.8866305293964,1741.0804063600085,1737.77586666486,1759.17084816837,1164549.1767578125,1741.0804063600085_411.8866305293964_1164549.1767578125,0.0,5.833128221044329,0.0,
206,206,206,500.7327873340296,1750.168516385787,1743.84690312291,1759.17084816837,5362025.6416015625,1750.168516385787_500.7327873340296_5362025.6416015625,0.0,6.46581188394097,0.0,0.0
209,209,209,499.167288343907,1755.994225350755,1743.84690312291,1759.17084816837,1103451.5517578125,1755.994225350755_499.167288343907_1103451.5517578125,0.0,7.70950363697463,0.0,
211,211,211,659.7373829745337,1761.4831787914595,1750.10462919615,1765.20502213383,10498043.567382812,1761.4831787914595_659.7373829745337_10498043.567382812,0.0,5.787568764993164,0.0,
213,213,213,392.5036551807559,1762.2087742836666,1743.84690312291,1765.20502213383,5517608.455078125,1762.2087742836666_392.5036551807559_5517608.455078125,0.0,7.353985191171457,0.0,
215,215,215,465.7532503865066,1762.253535121683,1756.1482396497902,1778.6891700401402,2323279.860839844,1762.253535121683_465.7532503865066_2323279.860839844,0.0,4.359762774998946,0.0,0.0
218,218,218,545.1934103525073,1768.2125985262387,1765.20502213383,1778.6891700401402,1778113.859375,1768.2125985262387_545.1934103525073_1778113.859375,0.0,7.79233685017409,0.0,0.0
220,220,220,549.7390045251253,1765.1758383473907,1762.19154862308,1812.71194664382,2709580.8359375,1765.1758383473907_549.7390045251253_2709580.8359375,0.0,4.780602870638026,0.0,0.0
221,221,221,551.2325852087321,1771.0978763249882,1768.2159666195,1781.33015064144,4383477.875,1771.0978763249882_551.2325852087321_4383477.875,0.0,5.088278325089671,0.0,0.0
227,227,227,411.86332238262,1773.5822009475028,1765.20502213383,1793.77446011448,6919053.948242188,1773.5822009475028_411.86332238262_6919053.948242188,0.0,7.343963293782323,0.0,0.0
237,237,237,543.7698261479037,1796.2365269232318,1781.33015064144,1807.52016214275,1262035.3857421875,1796.2365269232318_543.7698261479037_1262035.3857421875,0.4269127252013311,6.842687041262998,0.0,
239,239,239,475.7614993724597,1799.5374841817688,1776.4549945965,1839.87180570507,160065436.4086914,1799.5374841817688_475.7614993724597_160065436.4086914,0.0,10.39429949339338,0.0,0.0
240,240,240,544.1997124284198,1796.5676718271386,1790.79968956851,1804.55186263467,1779705.3837890625,1796.5676718271386_544.1997124284198_1779705.3837890625,2.0053538325518505,4.199699412664453,0.0,0.0
